judul,penulis,dp1,dp2,abstrak
Sistem Deteksi Wajah Menggunakan Haar-Like Feature Pada Nokia Lumia Windows Phone, Asadullohil Ghalib Kubat," Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom.","Teknologi pendeteksian obyek menggunakan kamera telah semakin banyak digunakan antara lain untuk sistem pendeteksian organ biometric  seperti wajah, mata, hidung, tangan dan lain-lain. selain pada organ  biometric, pendeteksian  obyek juga banyak dilakukan pada obyek-obyek yang lain seperti obyek mobil dan sepeda motor. deteksi obyek banyak dimanfaatkan pada bidang security dan authorization.  dalam tugas akhir ini hanya akan difokuskan pada masalah pendeteksian obyek wajah,  deteksi wajah  (face detection)  adalah salah satu pra proses  yang sangat penting didalam sistem pengenalan wajah(face recoginiton)    untuk mengetahui letak posisi wajah dalam sebuah citra yang nantinya  akan  dilakukan  untuk proses  pengenalan (recognition), sistem  pendeteksian wajah ini diimplementasi pada handphone nokia lumia 920 dengan sistem operasi windows phone.   metode yang digunakan dalam penelitian ini adalah haar cascade classifier  dengan mengacu pada  haar rectangular feature  (fitur kotak haar) yang merupakan fitur hasil ekstraksi dari penelition  viola jones, dalam penelitian ini terdapat 12876 citra yang digunakan untuk training yang terdiri dari 4916 citra wajah dan  7960 citra non wajah, kemudian terdapat 45 citra yang digunakan untuk testing yang terdir i dari 15 citra yang mengandung  single face, 15 citra yang terdapat  multiple face  dan 15 citra yang tidak terdapat wajah sama sekali. "
SISTEM PENGENALAN WAJAH BERBASIS WINDOWS PHONE MENGGUNAKAN METODE PRINCIPAL COMPONENT ANALYSIS DAN EUCLIDEAN DISTANCE, Miftah Alfian Syah," Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom.","Perkembangan mobile phone akhir-akhir ini semakin meningkat. handphone saat ini tidak hanya menjadi alat komunikasi saja, namun telah menjadi sebuah perangkat cerdas yang mampu menangani berbagai kebutuhan manusia secara cepat dan tepat. salah satunya adalah untuk pengenalan wajah.  face recognition adalah teknik untuk mengenali seseorang berdasarkan citra dari wajah seseorang. dalam perkembangan teknologi saat ini, face recognition merupakan salah satu  penelitian yang sangat popular pada saat ini  terutama dalam bidang computer vision dan biometrik. hasil dari penelitian ini sudah banyak dimanfaatkan dalam bidang keamanan maupun dalam bidang pemerintahan seperti pelacakan kriminal maupun teroris. tugas akhir ini bertujuan untuk mengimplementasikan metode pca yang diintegrasikan klasifikasi berbasis similarity measure dengan metode euclidean distance. sistem dibangun pada device windows phone. penelitian ini menggunakan 30 data citra yang akan digunakan sebagai data training dan testing untuk proses uji coba pada sistem yang telah dibuat. dengan menggunakan metode ekstraksi fitur pca dan penghitungan jarak dengan euclidean distance, dari tiga skenario pengujian yang telah dilakukan pada penelitian ini, menghasilkan tingkat akurasi sebesar 62.75% dengan kecepatan komputasi rata-rata 1.5 detik."
Pengenalan Pola Mata dan Hidung untuk Penentuan Jender Menggunakan Gray Level Run Lenght Matrix, Bagus Imansyah," Cucun Very Angkoso, S.T., M.T","Rima Tri Wahyuningrum, S.T., M.T","Pengertian jenis kelamin adalah merupakan suatu akibat dari dimorfisme seksual. telah dilakukan penelitian di jepang bahwa burung gagak dapat membedakan jenis kelamin sebuah individu. salah satu bentuk penerapan penentuan jenis kelamin (jender) ini adalah mengetahui bentuk mata dan hidung seseorang sehingga bentuk mata dan hidung tersebut dapat dikenali oleh komputer dan disimpan dalam database. pada penelitian tugas akhir terdapat dua tahapan, yaitu tahapan pertama menghitung ekstraksi fitur mata dan hidung menggunakan gray level run length matrix untuk menghasilkan pola mata dan hidung. tahap kedua menghitung jarak kemiripan menggunakan euclidean distance, yaitu semakin rendah nilai jarak suatu citra maka akan semakin tinggi tingkat kemiripannya. penelitian tugas akhir ini dilakukan uji coba pada 200 gambar mata dan hidung didalam database yang akan dibagi menjadi dua kelas yaitu laki - laki dan perempuan untuk dilakukan ekstraksi fitur menggunakan gray level run length matrix dan hasil ekstraksi fitur akan dilakukan pengukuran jarak kemiripan menggunakan metode euclidean distance. setelah didapat nilai hasil pengukuran jarak kemiripan terhadap kedua kelas, nilai tersebut akan dirata – rata untuk mendapatkan hasil yang diinginkan. dari hasil uji coba perbandingan rata – rata nilai hasil pengukuran euclidean distance diperoleh akurasi sebesar 75% pada 20 data uji coba dan 180 dengan jumlah citra yang ditampilkan adalah 5."
Berhitung Mudah dengan Jarimatika Berbasis Multimedia, Handayani Firdauzi," Ari kusumaningsih, S.T., M.T.","Rima Tri Wahyuningrum, S.T., M.T.","Keterampilan berhitung adalah salah satu ketrampilan dasar yang perlu dikuasai oleh anak. begitu pentingnya ketrampilan berhitung ini, sehingga orang tua secara sadar maupun tidak seringkali ‘memaksa’ anak untuk segera menguasai berhitung dengan baik. begitu bersemangatnya orang tua dalam mendorong anak agar pandai berhitung, acap kali kemudian menjadi kurang proporsional. orang tua mulai panik kalau anaknya dinilainya terlambat menguasai ketrampilan berhitung. apalagi bila orang tua melihat anak-anak yang sebaya sudah banyak yang menguasai ketrampilan berhitung dengan baik. kepanikan bisa berkembang menjadi kejengkelan, kemarahan, dan sebagainya. jarimatika merupakan salah satu cara melakukan operasi hitung. jika kita melakukan latihan berhitung secara berulang-ulang bersamadengan anak-anak, tidak perlu kuatir anak pasti menguasai ketrampilan ini dengan baik. karena jarimatika memiliki beberapa kelebihan yaitu, jarimatika memberikan visualisasi proses berhitung yang membuat anak mudah melakukannya, gerakan jari-jari tangan akan menarik minat anak,  jarimatika relatif tidak memberatkan memori otak saat digunakan, alatnya tidak perlu dibeli, tidak akan pernah ketinggalan, atau terlupa dimana menyimpannya sebagai hasil uji coba aplikasi ini, penulis melakukan kuisioner, dan hasilnya adalah dari 35 siswa di lingkungan sdn mlajah 2 bangkalan,  kemampuan berhitungnya bertambah baik, di bandingkan dengan sebelum menggunakan aplikasi jarimatika."
Rancang Bangun Aplikasi SCM disertai peramalan Bahan Produksi menggunakan Metode Radial Basis Function Network, Nurhadi Kusdianto," Fika Hastarita R, S.T., M.Eng.","Firli Irhamni, S.T, M.Kom.","Kebutuhan bahan garam oleh pt. elitestar primajaya adalah hal yang utama, karena selama ini perusahaan hanya mengandalkan inventori atau stok gudang untuk memenuhi kebutuhan produksinya. maka dibuatlah aplikasi berupa sms gateway untuk memberi informasi kebutuhan produksi garam ke petani, untuk itu dengan adanya sms gateway ke petani garam atau pemasok diharapkan mampu meningkatkan kebutuhan garam yang masuk. untuk penjualannya, perusahaan tetap menggunakan sms gateway untuk memberikan info mengenai ketersediaannya garam jadi ke pelanggan. sms ke pemasok disertai dengan peramalan. metode peramalan yang digunakan adalah metode radial basis function (rbf) dengan penentuan hidden node menggunakan k-means cluster. metode ini merupakan salah satu metode pembelajaran baru dari jaringan syaraf tiruan yang memiliki tingkat akurasi yang baik dibandingkan dengan metode konvensional lainnya. hal ini yang akan mempengaruhi performa dari desain yang dibuat dan dengan pemanfaatan metode ini, didapat keakuratan berdasarkan nilai mape (mean absolute percentage error) dan mse (mean square error). sedangkan metode k-means digunakan karena ketepatan penentuan nilai centroid yang akurat, mudah dan penentuannya awalnya secara random. dari hasil pengujian sistem menghasilkan 4 cluster dengan nilai mape 13.042%  dan mse 0.004 dan hasil peramalan periode berikutnya sebesar 3853.039 ton."
Rancang Bangun Sistem Pemilihan Supplier Menggunakan Metode Fuzzy - Data Envelopment Analysis (F-DEA), Gilar Singgih Sutandi," Fika Hastarita Rachman, S.T., M.Eng.","Dr. Rahmat Hidayat, M.T.","Memberikan pelayanan terbaik merupakan hasil akhir yang dapat mengukur tingkat keberhasilan suatu perusahaan. distribusi memiliki peran penting mendukung keberhasilan perusahaan untuk menghasilkan performansi terbaik.  pemilihan  supplier   dengan  mengukur performansi supplier adalah hal penting yang harus dilakukan oleh perusahaan untuk mengoptimalkan biaya dan waktu produksi. penelitian ini dilakukan pada pt. pal indonesia dengan mengambil objek kapal patroli cepat (kpc). permasalahan dalam penelitian ini adalah akan ditentukan supplier terbaik berdasarkan banyak kriteria. metode fuzzy digunakan untuk melakukan penilaian terhadap kriteria yang dimiliki supplier, sedangkan untuk penilaian efisiensi digunakan metode data envelopment analysis (dea). fuzzy – data envelopment analysis merupakan pengembangan dari metode dea standar. dari hasil pengolahan dan analisa data disimpulkan bahwa supplier yang efisien menurut kriteria untuk copper pipe adalah myeong s. untuk elektroda adalah pt. thermadine, supplier untuk kayu adalah pt. gotong royong, dan supplier untuk kabel adalah js. cable."
Pemetaan Kesesuaian Lahan Untuk Budidaya Tanaman Pangan Menggunakan Naive Bayes Berbasis GIS, Eka Zuhdi Putra Natari," Mula'ab, S.Si.,M.Kom","Fika Hastarita Rachman, S.T.,M.Eng","Ketahanan pangan nasional diartikan sebagai kemampuan negara untuk memenuhi kecukupan pangan seluruh penduduknya. oleh karena itu upaya peningkatan ketahanan pangan merupakan salah satu program pokok dengan prioritas pencapaian produksi untuk memenuhi kebutuhan nasional. kesesuaian lahan untuk tanaman pertanian pada dasarnya merupakan pencerminan kesesuaian kondisi fisik lahan terhadap penggunaan yang bersangkutan. diketahui data kesesuaian lahan dan data produksi serta produktivitas pertanian daerah dapat menemukenali keselarasan antara kondisi lahan dengan kemampuan berproduksinya. dalam hal ini maka, dibuatkanlah sistem pendukung keputusan (spk) untuk mendapatkan tanaman yang sesuai dengan keadaan lahan setiap daerah. spk ini menggunakan naïve bayes. hasil dari tiap - tiap lahan tersebut akan melalui proses naïve bayes yang sebelumnya melalui proses pembelajaran terlebih dahulu sebelum program dapat digunakan untuk melakukan klasifikasi. melalui pengujian dan perbandingan data hasil menghasilkan prosentase keakuratan 97,07%, yaitu dari 205 data yang diprediksi, terdapat 199 kesamaan nama tanaman oleh sistem. kemudian dari proses dapat diidentifikasi lokasi lahan yang kemudian dapat direpresentasikan menjadi geografic information system yang mengambil peta dari google maps."
Pengenalan Komponen Motor Otomotif Berbasis Role Playing Game (RPG) Dengan Algoritma Simple Rules, Moch. Akhlul Ilmil Hoir," Arik Kurniawati S.Kom., M.T","Ari Kusumaningsih, S.T., M.T","Dalam tugas akhir ini, penulis menerapkan konsep game edukasi berbasis rpg atau role playing game dengan tema pengenalan komponen motor otomotif berbasis rpg dengan algoritma simple rules. game ini dirancang khusus dengan tujuan utama penyampaian materi edukasi yang disajikan dalam bentuk skenario game petualangan. game ini ditujukan untuk siswa sekolah menengah kejuruan teknik otomotif kelas x, dengan harapan game ini bisa menjadi alternatif media pembelajaran bagi siswa sehingga siswa dapat tertarik dan lebih mudah untuk memahami. penulis menggunakan software untuk mendesain game yang bernama game maker, dengan engine ini game dapat dimainkan pada perangkat komputer. hasil kuesioner yang diambil dari persentase responden terbanyak, ternyata mendapat respon yang cukup baik, dengan persentase tingkat kesulitan bermain sebanyak 50% mengatakan mudah, tingkat keberhasilan menjadi media pembelajaran sebanyak 45% mengatakan berhasil, tingkat kesukaan bermain pada game sebanyak 45% mengatakan suka, keberhasilan penyampaian materi ajar pada game sebanyak 65% mengatakan berhasil, tingkat efektifitas fitur game dalam membantu memainkan game sebanyak 40% mengatakan membantu, pengaruh game dalam memotivasi belajar komponen motor otomotif sebanyak 40% mengatakan termotivasi, jadi dapat dikatakan game ini sudah berhasil."
Analisis Dampak Penerapan Metode Diskretisasi Data terhadap Performa Diagnosis Penyakit Liver Berbasis K-Nearest Neighbor, Candra Utomo Alatas," Mula'ab, S.Si., M.Kom.","Iwan Santosa, S.T., M.T.","Akurasi adalah faktor terpenting yang harus dipertimbangkan dalam memilih metode klasifikasi data. semakin tinggi akurasi suatu metode klasifikasi data, semakin layak metode tersebut diterapkan. pada kasus diagnosis penyakit liver, metode k-nearest neighbor (knn) menunjukkan akurasi yang tinggi. di sisi lain, beberapa penelitian menunjukkan bahwa penerapan diskretisasi berbasis entropy sebagai metode preprocessing mampu meningkatkan akurasi klasifikasi data. karenanya, dibangun sebuah hipotesis bahwa penerapan diskretisasi berbasis entropy juga mampu meningkatkan akurasi klasifikasi data pada kasus diagnosis penyakit liver. dalam penelitian ini, diskretisasi berbasis entropy diterapkan sebagai metode preprocessing, sedangkan knn digunakan sebagai metode klasifikasi. klasifikasi dilakukan terhadap data set awal dan data set yang telah melalui proses diskretisasi berbasis entropy. kemudian, akurasi yang dihasilkan oleh klasifikasi terhadap data set awal dibandingkan dengan akurasi yang dihasilkan oleh klasifikasi terhadap data set terdiskretisasi. dari seluruh skenario uji coba yang telah dilakukan, terlihat bahwa akurasi klasifikasi pada data set terdiskretisasi lebih tinggi daripada akurasi klasifikasi pada data set awal. hal ini terjadi pada seluruh nilai k yang diuji. oleh karena itu, disimpulkan bahwa penerapan diskretisasi berbasis entropy dapat meningkatkan akurasi diagnosis penyakit liver berbasis knn. peningkatan akurasi yang diperoleh berkisar antara 1,03% hingga 4,8%."
DESAIN SISTEM E-VOTING PEMILIHAN REKTOR MENGGUNAKAN BLIND SIGNATURE, Hanifudin Sukri," Moh. Kautsar Sophan, S.Kom., M.M. ","Bain Khusnul Khotimah, S.T, M.Kom","Pemilihan rektor merupakan agenda rutin yang dilaksanakan lima tahun sekali oleh universitas trunojoyo untuk menentukan rektor periode berikutnya, pemilihan rektor saat ini masih dilakukan dengan cara manual, kendala yang dihadapi adalah terjadinya kecurangan dan tidak efisien. pada penelitian ini dirancang protokol dan simulasi sistem e-voting pada pemilihan rektor. fungsi-fungsi pada sistem ini disesuaikan dengan skema e-voting yang harus memenuhi beberapa kriteria, yaitu eligibility, unreusability, anonymity, accuracy, fairness, vote and go, dan public verifiability. protokol ini akan digunakan  untuk sistem pendaftaran pemilih, validasi pemilih, sistem pemilihan, dan sistem perhitungan suara. untuk menjaga kerahasiaan pilihan pemilih, sistem e-voting ini menggunakan algoritma blind signature. hasil dari penelitian ini adalah sebuah sistem e-voting berbasis web yang menggunakan otentikasi finger print untuk mencegah terjadinya pemilihan kolektif. hasil penelitian ini berdasarkan kusioner kepuasan pengguna yang disebar kepada responden dapat disimpulkan baik dan menunjukkan bahwa e-voting dapat mempercepat proses perhitungan suara dan meminimalisir kesalahan perhitungan yang dapat terjadi jika dilakukan secara manual oleh manusia.   kata kunci: e-voting, fingerprint, web, pemilihan umum, blind signature."
"SIMULASI LAMPU LALU LINTAS PADA SEBUAH PERSIMPANGAN JALAN DENGAN MEMANFAATKAN CITRA CCTV MENGGUNAKAN GABOR FILTER DAN FUZZY LOGIC
", Ahmad Afwan Arin," Dr. Indah Agustien S, S.Kom, M.Kom.","Bain Khusnul Khotimah, ST.,M.Kom.","Kemacetan lalu lintas merupakan masalah yang hampir terjadi diseluruh negara. muncul masalah baru dalam penentuan lama nyala lampu lalu lintas. cctv merupakan peralatan monitoring yang cukup popular akhir-akhir ini. akan tetapi, kegunaan cctv sebatas monitoring secara manual. tidak ada proses otomatisasi pengaturan lalu lintas berdasarkan gambar yang dihasilkan cctv. dibutuhkan sistem yang memanfaatkan gambar yang diambil menggunakan cctv pada persimpangan jalan untuk mengatur lalu lintas. dalam proses pengenalan obyek pada citra cctv terdapat 2 tahap utama dalam simulasi lalu lintas, yaitu identifikasi keadaan jalan dengan metode gabor filter untuk mengetahui kepadatan jalan dilanjutkan dengan penentuan cycle time menggunakan metode mamdani dengan variabel fuzzy keadaan jalan, waktu, dan hari. pada uji coba skenario 1 dengan variabel waktu pukul 06.00, variabel hari senin, dan variabel keadaan jalan 400. dengan dengan cycle time pendek [0-15] menghasilkan nyala lampu 10 detik. artinya tingkat keramaian pada mencapai 66,7%. pada uji coba skenario 2 menggunakan variabel waktu pukul 09.41.45, variabel hari selasa, dan variabel keadaan jalan 488. dengan cycle time pendek [0-15] menghasilkan nyala lampu 11 detik. artinya tingkat keramaian mencapai 73,3%."
Implementasi Jena dan SPARQL untuk Optimalisasi Pencarian pada Semantik Web, Yanuari Dwi Prianto," Fika Hastarita R, ST., M.Eng","Iwan Santosa, ST., MT","Search engine saat ini menggunakan mekanisme temu balik informasi dengan hasil yang belum optimal, dikarenakan proses pencarian dilakukan dengan mencocokkan query dengan kata pada konten, serta pembobotan tanpa memperhitungkan relasinya, juga proses pencarian klasik memakai acuan dokumen hypertext yang tidak terstruktur dan masih berupa bahasa alami. beberapa permasalahan tersebut menyebabkan proses pencarian tidak akurat sesuai dengan kata kunci yang dimasukkan. untuk menjawab permasalahan tersebut telah dikembangkan sebuah sistem yang disebut web semantik. pada mekanisme web semantik, proses pencariannya menggunakan dokumen yang sudah terstruktur dan memiliki kemampuan untuk memberikan pengetahuan kepada mesin yaitu resource description framework (rdf). pada penelitian ini telah dibuat sebuah prototype mesin pencari berbasis web semantik. teknologi web semantik yang digunakan pada penelitian ini berfokus pada pembuatan dokumen rdf untuk mendeskripsikan metadata menjadi sebuah resource yang memiliki susunan semantik (subjek-predikat-objek) dan menggunakan sparql yang mengambil modul arq pada jena library untuk mekanisme pencariannya. penelitian ini telah menghasilkan dokumen rdf dari domain detikinet.com sebagai sumber pencarian yang valid sesuai struktur rdf dan standarisasi dokumen rdf dari w3c, juga menghasilkan prototype mesin pencari dengan optimalisasi jena dan sparql yang menghasilkan nilai rata-rata precission 0.52, recall 0.63, f-measure 0.53."
SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI JURUSAN DENGAN MENGGUNAKAN METODE AHP DAN SAW, LEILY AULA RAHMAWATI," FIKA HASTARITA RACHMAN,S.T., M.Eng.","BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","Beragam jurusan yang ada pada smkn 1 buduran sidoarjo yaitu jasa boga, busana butik, akomodasi perhotelan serta kecantikan rambut, seringkali membuat kesulitan calon siswa untuk memilih jurusan yang sesuai dengan bakat minatnya.  akibatnya tidak sedikit dari mereka yang kurang mampu mengikuti pelajaran. sedangkan kriteria yang dibutuhkan antara lain penampilan, komunikasi, pengetahuan umum dan bakat minat. sehingga dibutuhkan suatu sistem pendukung keputusan yang mampu menghitung perhitungan nilai, kemampuan, serta minat yang dimiliki siswa untuk membantu menentukan jurusan yang tepat. penelitian ini mengimplementasikan metode analytical hierarchy process (ahp) dan simple additive weighting (saw). metode ahp dapat menyelesaikan keputusan yang kompleks dengan struktur alternatif  ke dalam kerangka hierarki. hierarki didefinisikan sebagai suatu representasi dari sebuah permasalahan yang komplekdalam suatu struktur multi level dimana level pertama adalah tujuan (goal), yang diikuti level faktor, kriteria (atributes), subkriteria (sub-atributes) dan alternatif. sedangkan metode saw dikenal dengan metode penjumlahan terbobot. konsep dasar metode saw adalah mencari penjumlahan terbobot dari rating kinerja pada setiap alternatifpada semua atribut. sistem ini dapat membantu calon peserta didik dalam merekomendasikan jurusan yang sesuai dengan kemampuan dan minat siswa dengan tingkat kesesuaian 85%. kata kunci : sistem pendukung keputusan, ahp, saw, rekomendasi jurusan"
PENGENALAN WAJAH MENGGUNAKAN EKSTRAKSI FITUR DIAGONAL PRINCIPAL COMPONENT ANALYSIS (DIAPCA), Maulidiah Purnamasari," Rima Tri Wahyuningrum,S.T.,M.T.","Fitri Damayanti,S.Kom.,M.Kom.","Pada umumnya kemajuan teknologi untuk mendeteksi wajah bukanlah hal yang baru lagi. pengenalan wajah merupakan bagian dari pattern recognition. salah satu bentuk penerapan pengenalan wajah ini yaitu membedakan wajah antar satu orang dengan yang lain.pada penelitian ini akan dibuat sistem pengenalan wajah menggunakan ekstraksi fitur diagonal principal component analysis (diapca) untuk menentukan karakteristik dari wajah. setelah itu dilakukan pengukuran kemiripan antara data pelatihan (training) dan data uji coba (testing) menggunakan metode klasifikasi euclidean distance. melalui proses citra wajah ini dapat diketahui identitas dari seseorang. alasan menggunakan ekstraksi fitur diapca pada tugas akhir ini karena diapca mengubah citra wajah asli menjadi  citra wajah diagonal dengan memadukan informasi dari baris dan kolom pada citra asli untuk menemukan beberapa blok yang berguna atau struktur informasi yang diakui oleh citra asli, misalnya struktur daerah mata, hidung dan lain-lain. dari ujicoba aplikasi menggunakan klasifikasi euclidean distance diperoleh akurasi pengenalan terbaik pada basis data orl, yale dan bern masing-masing 94,16%, 92%, dan 94,06%. ketiganya berada pada skenario terurut d. kata kunci : diagonal principal component analysis (diapca), pengenalan wajah, euclidean distance."
IMPLEMENTASI ALGORITMA ENKRIPSI AES UNTUK APLIKASI SMS BERBASIS SISTEM OPERASI GOOGLE ANDROID, Awang Maristyono," Cucun Very Angkoso, ST., M.T","Moch. Kautsar Sophan, S.Kom., M.MT","Pengiriman informasi short message service (sms) merupakan sesuatu hal yang di butuhkan pada masa modern, layanan sms memiliki kerentanan dalam keamanan data. kelemahan layanan sms salah satunya disebabkan pada pengguna standard pengkodingan yang universal, sms dibangun dengan sistem bahasa program yang sejenis dengan bahasa program hardware seperti komputer dan ponsel dapat menerjemahkan semua data dalam frekuensi tertentu yang terbuka. untuk menjamin keamanan dan kerahasiaan informasi saat pengiriman, dilakukan proses enkripsi dan dekripsi terhadap informasi yang akan dikirimkan. enkripsi dilakukan pada saat pengiriman dengan cara mengkonversi informasi asli menjadi informasi sementara sedangkan dekripsi dilakukan pada saat penerimaan dengan cara mengkonversi informasi sementara menjadi informasi asli. jadi informasi yang dikirimkan selama proses pengiriman adalah data informasi sementara, sehingga informasi asli tidak dapat diketahui oleh pihak yang tidak berkepentingan. informasi asli hanya dapat diketahui oleh penerima dengan menggunakan kunci rahasia. dari  50 sample hasil pengujian sistem  di peroleh akurasi 40% menggunakan plaintext dan key valid 128bit menghasilkan 100% output chipertext dan plaintext yang sama, 60% menggunakan plaintext dan key tidak valid  menghasilkan 100% output chipertext dan plaintext yang berbeda dengan menggunakan metode advanced encryption standard."
"PEMANFAATAN SISTEM INFORMASI GEOGRAFIS UNTUK MEMPREDIKSI LAJU EROSI
LAHAN PADA DAERAH ALIRAN
SUNGAI DENGAN METODE
USLE", ABDULLAH KAMIL," MULA'AB, S.Si , M.Kom","FIRDAUS SOLIHIN , S.Kom , M.Kom","Erosi tanah merupakan kejadian alami yang ada dibumi ini, akan tetapi karena pengaruh manusia kejadian erosi menjadi lebih besar dari keadaan alaminya. erosi merupakan salah satu penyebab kerusakan tanah terbesar di indonesia. erosi dapat megakibatkan longsor, penurunan kesuburan tanah, sedimentasi dan sebagainya. melihat kondisi yang demikian diperlukan suatu teknologi yang bisa digunakan untuk memprediksi daerah yang rentan terhadap bahaya erosi. dengan memanfaatkan sistem informasi geografis (sig) dan menggunakan metode universal soil loss equation (usle) dapat digunakan untuk memprediksi besarnya erosi tanah yang terjadi. dengan beberapa variabel yang digunakan dalam metode ini adalah erosivitas hujan, erosibilitas tanah, panjang dan kemiringan lereng, pengelolaan tanaman dan konservasi tanah. dari penelitian ini akan didapatkan sebuah peta yang menunjukkan adanya erosi tanah di daerah aliran sungai (das) bengawan solo yang berbasis sistem informasi geografis dan digunakan sebagai alat untuk mengetahui dan memonitor daerah yang rentan terhadap erosi sehingga dapat dimanfaatkan untuk pengendalian serta penanggulangan erosi tanah didaerah aliran sungai tersebut."
Sistem Peramalan Jumlah Balita Gizi Buruk Menggunakan Metode Backpropagation With Error Modification, Mohammad Indra Kusuma," Firli Irhamni, S.T., M.Kom.","Bain Khusnul Khotimah, S.T., M.Kom.","Sistem pendataan mengenai balita penderita gizi buruk di dinas kesehatan bangkalan masih dilakukan secara manual dan belum dapat memprediksi berapa jumlah balita penderita gizi buruk pada masa yang akan datang. di dinas tersebut dibutuhkan suatu sistem peramalan yang mampu memprediksi jumlah balita penderita gizi buruk agar dapat dilakukan antisipasi dan mengambil keputusan dengan lebih efektif dan efisien untuk menanggulangi kasus tersebut. untuk membangun sistem peramalan tersebut digunakan metode backpropagation. pada metode backpropagation untuk mendapatkan nilai error yang kecil dibutuhkan proses pelatihan bobot yang cukup lama dan kurang efisien terhadap waktu. untuk mengatasi hal tersebut maka dikembangkanlah metode backpropagation with error modification, perhitungan nilai error dimodifikasi dengan memberikan sedikit fungsi baru. metode backpropagation menghasilkan mse = 0,5833 dengan parameter hidden layer sebanyak 12, iterasi sebanyak 1000, momentum dengan nilai 0,1, learning rate dengan nilai 1 dan toleransi error = 0,0001. sedangkan metode backpropagation with error modification menghasilkan mse = 0,1666 dengan parameter hidden layer sebanyak 12, iterasi sebanyak 1000, momentum dengan nilai 0,1, learning rate dengan nilai 1 dan toleransi error = 0,0001. berdasar pada hasil mse kedua metode tersebut, metode backpropagation with error modification menunjukkan performa yang lebih baik dibanding metode backpropagation sebelumnya."
"Rancang Bangun Perangkat Lunak Pencarian Jalur Terpendek Untuk Perjalanan Wisata Dengan Metode Algoritma Dijkstra
(Studi Kasus : Kota Surabaya)
", Muliyati," Fika Hastarita Rachman S.T., M.Eng","Riza Alfita S.T., M.T","Berwisata merupakan cara seseorang untuk menghilangkan kejenuhan terhadap rutinitas sehari-hari serta dapat menambah pengetahuan. namun banyaknya jalan raya pada saat ini terkadang menyulitkan seseorang untuk memilih jalan yang mempunyai jarak yang paling minimum sehingga mempengaruhi besarnya biaya yang dikeluarkan. untuk itu diperlukan suatu sistem informasi yang mampu menemukan jalur minimum untuk menghemat waktu dengan memperhitungkan antara jarak dan kecepatan berkendara. sistem ini dibuat dengan menggunakan metode algoritma dijkstra dan berbasis web. untuk penggambaran jalur yang dilalui menggunakan google maps sehingga hasilnya lebih akurat. agar tujuan yang ingin di capai berhasil dan sesuai dengan yang di inginkan maka aplikasi ini di bandingkan dengan jalur yang biasa dilalui oleh biro perjalanan wisata atau travel dengan cara mengisi kuesioner pengujian sistem. dari hasil uji coba yang dilakukan dapat diambil kesimpulan bahwa metode algoritma dijkstra dapat digunakan untuk proses pencarian jalur minimum lebih dari satu tujuan. dari lima skenario uji coba yang di ujikan untuk dua travel, hanya ada satu rute yang berbeda di setiap travel."
Sistem Peramalan Penjualan Menggunakan Metode Jaringan Syaraf Tiruan Dengan Algoritma Backpropagation, Dimas Taufany Putra, Fika Hastarita,Bain Khusnul Khotimah,"Produk olahraga merupakan salah satu bagian penting dalam organ-organ seorang atlit. peningkatan jumlah penjualan produk yang tidak terduga menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan produk,maka akan menyebabkan inventorydi gudang. oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan produk pada periode berikutnya. sistem peramalan ini menggunakan metode jaringan syaraf tiruan dengan algoritma backpropagation dengan momentum untuk meramalkan jumlah penjualan produk pada bulan berikutnya. data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. dari hasil uji coba system, maka dapat disimpulkan bahwa  dengan menggunakan semua data sebagai data training dan menggunakan learning rate 0.8 dan dengan epoh 18 akan menghasilkan tingkat kesalahan 56827.343. hasil ini menunjukkan hasil terbaik dari beberapa skenario ujicoba sistem, namum belum menunjukkan hasil terbaik dari skenario yang lain dengan meningkatkan epoch supaya mendapatkan hasil yang lebih baik.  kata kunci : peramalan, jaringan syaraf tiruan, backpropagation, momentum, penjualan produk olahraga."
